etiqueta;acumulado;frame;tiempo;
motociclista;1.0;711.822222222;1.6
particular;1.0;845.288888889;1.9
peaton;1.0;1178.95555556;2.65
particular;2.0;1534.86666667;3.45
particular;3.0;1668.33333333;3.75
particular;4.0;2090.97777778;4.7
taxi;1.0;2402.4;5.4
particular;5.0;2535.86666667;5.7
motociclista;2.0;3069.73333333;6.9
particular;6.0;4804.8;10.8
camion;1.0;5383.15555556;12.1
particular;7.0;6384.15555556;14.35
camion;2.0;6740.06666667;15.15
motociclista;3.0;6895.77777778;15.5
particular;8.0;7073.73333333;15.9
motociclista;4.0;7296.17777778;16.4
motociclista;5.0;7429.64444444;16.7
motociclista;6.0;7540.86666667;16.95
motociclista;7.0;7585.35555556;17.05
peaton;2.0;7652.08888889;17.2
minivan;1.0;8185.95555556;18.4
particular;9.0;8341.66666667;18.75
taxi;2.0;8497.37777778;19.1
particular;10.0;8497.37777778;19.1
motociclista;8.0;9364.91111111;21.05
minivan;2.0;9431.64444444;21.2
motociclista;9.0;9809.8;22.05
motociclista;10.0;9943.26666667;22.35
motociclista;11.0;10365.9111111;23.3
particular;11.0;10410.4;23.4
taxi;3.0;10721.8222222;24.1
taxi;4.0;11099.9777778;24.95
particular;12.0;11411.4;25.65
peaton;3.0;12078.7333333;27.15
particular;13.0;12790.5555556;28.75
bus;1.0;13035.2444444;29.3
particular;14.0;13124.2222222;29.5
particular;15.0;13524.6222222;30.4
peaton;4.0;13769.3111111;30.95
particular;16.0;14770.3111111;33.2
taxi;5.0;16104.9777778;36.2
minivan;3.0;16527.6222222;37.15
motociclista;12.0;16994.7555556;38.2
motociclista;13.0;17395.1555556;39.1
particular;17.0;17461.8888889;39.25
motociclista;14.0;17639.8444444;39.65
particular;18.0;17951.2666667;40.35
particular;19.0;18240.4444444;41.0
motociclista;15.0;19241.4444444;43.25
motociclista;16.0;19374.9111111;43.55
camion;3.0;19397.1555556;43.6
bus;2.0;19508.3777778;43.85
motociclista;17.0;19708.5777778;44.3
motociclista;18.0;21265.6888889;47.8
camion;4.0;21532.6222222;48.4
camion;5.0;22778.3111111;51.2
motociclista;19.0;23579.1111111;53.0
camion;6.0;23779.3111111;53.45
camion;7.0;24335.4222222;54.7
