etiqueta;acumulado;frame;tiempo;
peaton;1.0;2914.02222222;6.55
particular;1.0;3203.2;7.2
particular;2.0;3737.06666667;8.4
particular;3.0;3892.77777778;8.75
particular;4.0;4226.44444444;9.5
particular;5.0;4738.06666667;10.65
particular;6.0;4804.8;10.8
taxi;1.0;5205.2;11.7
particular;7.0;5739.06666667;12.9
particular;8.0;5917.02222222;13.3
particular;9.0;6183.95555556;13.9
particular;10.0;6984.75555556;15.7
particular;11.0;7718.82222222;17.35
peaton;2.0;10477.1333333;23.55
peaton;3.0;14770.3111111;33.2
peaton;4.0;17039.2444444;38.3
peaton;5.0;17217.2;38.7
particular;12.0;28539.6222222;64.15
particular;13.0;28851.0444444;64.85
particular;14.0;28962.2666667;65.1
particular;15.0;29451.6444444;66.2
particular;16.0;30341.4222222;68.2
particular;17.0;31297.9333333;70.35
particular;18.0;33945.0222222;76.3
particular;19.0;34545.6222222;77.65
particular;20.0;34990.5111111;78.65
particular;21.0;37081.4888889;83.35
minivan;1.0;38082.4888889;85.6
minivan;2.0;38126.9777778;85.7
particular;22.0;38794.3111111;87.2
particular;23.0;39150.2222222;88.0
particular;24.0;39617.3555556;89.05
particular;25.0;39706.3333333;89.25
motociclista;1.0;40284.6888889;90.55
particular;26.0;40418.1555556;90.85
particular;27.0;40952.0222222;92.05
particular;28.0;42420.1555556;95.35
particular;29.0;43443.4;97.65
particular;30.0;43510.1333333;97.8
particular;31.0;44066.2444444;99.05
peaton;6.0;48670.8444444;109.4
particular;32.0;48893.2888889;109.9
particular;33.0;49115.7333333;110.4
taxi;2.0;49115.7333333;110.4
particular;34.0;49961.0222222;112.3
particular;35.0;50250.2;112.95
particular;36.0;50984.2666667;114.6
particular;37.0;51051.0;114.75
particular;38.0;51584.8666667;115.95
particular;39.0;51896.2888889;116.65
particular;40.0;53164.2222222;119.5
peaton;7.0;56545.3777778;127.1
peaton;8.0;57034.7555556;128.2
peaton;9.0;65020.5111111;146.15
peaton;10.0;66844.5555556;150.25
peaton;11.0;67289.4444444;151.25
taxi;3.0;73006.2666667;164.1
particular;41.0;73851.5555556;166.0
particular;42.0;74051.7555556;166.45
particular;43.0;74385.4222222;167.2
particular;44.0;75186.2222222;169.0
particular;45.0;75386.4222222;169.45
particular;46.0;75742.3333333;170.25
particular;47.0;78656.3555556;176.8
particular;48.0;79968.7777778;179.75
particular;49.0;82170.9777778;184.7
particular;50.0;82838.3111111;186.2
particular;51.0;83639.1111111;188.0
taxi;4.0;84172.9777778;189.2
particular;52.0;84439.9111111;189.8
taxi;5.0;87109.2444444;195.8
particular;53.0;93671.3555556;210.55
motociclista;2.0;93715.8444444;210.65
particular;54.0;94427.6666667;212.25
taxi;6.0;94427.6666667;212.25
particular;55.0;95139.4888889;213.85
particular;56.0;95495.4;214.65
particular;57.0;95606.6222222;214.9
particular;58.0;96096.0;216.0
particular;59.0;96251.7111111;216.35
taxi;7.0;96919.0444444;217.85
particular;60.0;97230.4666667;218.55
taxi;8.0;97297.2;218.7
peaton;12.0;104015.022222;233.8
peaton;13.0;110732.844444;248.9
peaton;14.0;113446.666667;255.0
motociclista;3.0;118318.2;265.95
particular;61.0;118607.377778;266.6
particular;62.0;118829.822222;267.1
particular;63.0;119474.911111;268.55
particular;64.0;120475.911111;270.8
particular;65.0;121032.022222;272.05
particular;66.0;123679.111111;278.0
taxi;9.0;127505.155556;286.6
taxi;10.0;127994.533333;287.7
particular;67.0;129952.044444;292.1
particular;68.0;131064.266667;294.6
particular;69.0;134000.533333;301.2
particular;70.0;134645.622222;302.65
camion;1.0;136580.888889;307.0
particular;71.0;141496.911111;318.05
particular;72.0;142297.711111;319.85
motociclista;4.0;164275.222222;369.25
particular;73.0;165009.288889;370.9
particular;74.0;165431.933333;371.85
particular;75.0;182137.511111;409.4
particular;76.0;185474.177778;416.9
particular;77.0;187009.044444;420.35
particular;78.0;187631.888889;421.75
particular;79.0;212501.177778;477.65
particular;80.0;213101.777778;479.0
particular;81.0;213279.733333;479.4
particular;82.0;213591.155556;480.1
particular;83.0;220308.977778;495.2
peaton;15.0;238571.666667;536.25
particular;84.0;260882.844444;586.4
particular;85.0;273028.311111;613.7
particular;86.0;277299.244444;623.3
particular;87.0;277877.6;624.6
peaton;16.0;291402.222222;655.0


Conteo definitivo;ambos sentidos
etiqueta;conteo;tiempo;
peaton;16.0;768.2
particular;87.0;768.2
taxi;10.0;768.2
motociclista;4.0;768.2
bus;0.0;768.2
camion;1.0;768.2
minivan;2.0;768.2
ciclista;0.0;768.2
tractomula;0.0;768.2


Conteo definitivo;direccion positiva
etiqueta;conteo;tiempo;
peaton;8.0;768.2
particular;51.0;768.2
taxi;5.0;768.2
motociclista;3.0;768.2
bus;0.0;768.2
camion;1.0;768.2
minivan;2.0;768.2
ciclista;0.0;768.2
tractomula;0.0;768.2


Conteo definitivo;direccion negativa
etiqueta;conteo;tiempo;
peaton;8.0;768.2
particular;36.0;768.2
taxi;5.0;768.2
motociclista;1.0;768.2
bus;0.0;768.2
camion;0.0;768.2
minivan;0.0;768.2
ciclista;0.0;768.2
tractomula;0.0;768.2
Fin de archivo;
AYUDA;manual  ; en ;https://docs.google.com/document/d/1Y2eYLjje2taNnJwVAONLIpsGVm4aj8_jssrNITejFd0/edit?usp=sharing
