FECHA;Calle;Carrera;Movimiento;Acceso;Salida;Periodo;Peaton;Particular;Taxi;Motociclista;Bus;Camion;Minivan;Ciclista;Tractomula
30082018;100;11;Ciclistas cicloruta;Norte;Sur;12:00:00;5.0;51.0;18.0;5.0;0.0;2.0;3.0;15.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;12:15:01;1.0;69.0;7.0;6.0;0.0;1.0;2.0;20.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;12:30:00;2.0;64.0;7.0;5.0;0.0;1.0;5.0;24.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;12:44:59;1.0;65.0;8.0;8.0;0.0;1.0;0.0;28.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;12:59:58;7.0;51.0;2.0;14.0;0.0;0.0;4.0;22.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;13:14:59;2.0;59.0;14.0;17.0;0.0;0.0;1.0;30.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;13:29:59;3.0;70.0;10.0;22.0;0.0;0.0;4.0;41.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;13:44:58;3.0;73.0;6.0;7.0;0.0;0.0;4.0;32.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;13:59:57;0.0;51.0;12.0;13.0;0.0;0.0;2.0;36.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;14:14:56;1.0;62.0;10.0;10.0;0.0;2.0;2.0;23.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;14:29:57;3.0;79.0;9.0;7.0;0.0;0.0;0.0;22.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;14:44:57;3.0;52.0;11.0;17.0;0.0;1.0;1.0;21.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;14:59:56;5.0;57.0;5.0;6.0;0.0;3.0;3.0;16.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;15:14:55;4.0;46.0;12.0;13.0;0.0;1.0;2.0;16.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;15:29:54;7.0;40.0;15.0;11.0;0.0;0.0;2.0;21.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;15:44:53;6.0;32.0;3.0;21.0;0.0;0.0;3.0;19.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;15:59:55;5.0;49.0;13.0;18.0;0.0;0.0;1.0;10.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;16:14:54;3.0;37.0;12.0;15.0;0.0;0.0;4.0;23.0;0.0;
30082018;100;11;Ciclistas cicloruta;Norte;Sur;16:29:53;13.0;41.0;5.0;17.0;0.0;0.0;4.0;23.0;0.0;
