FECHA,Calle,Carrera,Descripcion,Origen,Destino,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,06:00:00,17,0,1,18,0,0,0,109,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,06:15:02,19,0,0,5,0,0,0,242,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,06:30:02,4,0,1,2,0,0,1,309,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,06:45:01,4,1,1,2,0,0,0,382,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,07:00:00,3,0,0,6,0,0,0,330,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,07:14:59,5,0,1,4,0,1,0,333,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,07:30:01,6,0,4,8,0,0,0,316,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,07:44:59,4,1,5,7,0,0,0,267,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,07:59:58,3,0,1,2,0,0,2,195,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,08:14:57,4,0,3,2,0,0,1,134,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,08:29:56,5,1,0,5,0,0,0,161,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Sur,Norte,08:44:57,5,0,2,3,0,0,0,131,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,06:00:00,8,0,0,4,0,0,0,18,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,06:15:02,10,0,0,5,0,0,0,64,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,06:30:02,2,1,0,2,0,0,0,97,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,06:45:01,4,0,0,5,0,0,0,68,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,07:00:00,2,0,1,6,0,0,0,51,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,07:14:59,3,0,0,6,0,0,0,64,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,07:30:01,3,0,1,6,0,0,0,75,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,07:44:59,6,0,0,8,0,0,0,63,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,07:59:58,3,0,0,6,0,0,0,63,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,08:14:57,5,0,0,3,0,0,0,53,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,08:29:56,2,0,0,0,0,0,0,48,0,
07022019,AV ESPERANZA (AC 24),50,cicloruta,Norte,Sur,08:44:57,0,0,0,2,0,0,0,43,0,
