etiqueta;acumulado;frame;tiempo;
ciclista;1.0;3603.6;8.1
motociclista;1.0;6940.26666667;15.6
motociclista;2.0;7296.17777778;16.4
particular;1.0;8185.95555556;18.4
particular;2.0;8942.26666667;20.1
particular;3.0;10632.8444444;23.9
particular;4.0;11300.1777778;25.4
particular;5.0;11678.3333333;26.25
particular;6.0;12657.0888889;28.45
particular;7.0;13435.6444444;30.2
particular;8.0;15749.0666667;35.4
motociclista;3.0;18685.3333333;42.0
particular;9.0;23912.7777778;53.75
particular;10.0;24824.8;55.8
particular;11.0;30296.9333333;68.1
particular;12.0;30608.3555556;68.8
motociclista;4.0;31008.7555556;69.7
particular;13.0;31520.3777778;70.85
peaton;1.0;31542.6222222;70.9
motociclista;5.0;31542.6222222;70.9
particular;14.0;32298.9333333;72.6
particular;15.0;32298.9333333;72.6
particular;16.0;32476.8888889;73.0
motociclista;6.0;32610.3555556;73.3
particular;17.0;33077.4888889;74.35
particular;18.0;34790.3111111;78.2
particular;19.0;35012.7555556;78.7
particular;20.0;35568.8666667;79.95
taxi;1.0;35591.1111111;80.0
taxi;2.0;35769.0666667;80.4
particular;21.0;36436.4;81.9
particular;22.0;36480.8888889;82.0
particular;23.0;37014.7555556;83.2
taxi;3.0;37971.2666667;85.35
minivan;1.0;38015.7555556;85.45
particular;24.0;38794.3111111;87.2
particular;25.0;39684.0888889;89.2
particular;26.0;40418.1555556;90.85
particular;27.0;41285.6888889;92.8
particular;28.0;43977.2666667;98.85
particular;29.0;45089.4888889;101.35
particular;30.0;45890.2888889;103.15
particular;31.0;46223.9555556;103.9
peaton;2.0;46691.0888889;104.95
particular;32.0;47692.0888889;107.2
ciclista;2.0;47692.0888889;107.2
ciclista;3.0;48559.6222222;109.15
peaton;3.0;49338.1777778;110.9
ciclista;4.0;49805.3111111;111.95
particular;33.0;51785.0666667;116.4
ciclista;5.0;52585.8666667;118.2
ciclista;6.0;53853.8;121.05
ciclista;7.0;54187.4666667;121.8
ciclista;8.0;57969.0222222;130.3
ciclista;9.0;58436.1555556;131.35
particular;34.0;59170.2222222;133.0
particular;35.0;60237.9555556;135.4
particular;36.0;60415.9111111;135.8
motociclista;7.0;60905.2888889;136.9
camion;1.0;61550.3777778;138.35
particular;37.0;62573.6222222;140.65
particular;38.0;63418.9111111;142.55
particular;39.0;63774.8222222;143.35
minivan;2.0;63886.0444444;143.6
motociclista;8.0;64219.7111111;144.35
particular;40.0;64664.6;145.35
minivan;3.0;66088.2444444;148.55
particular;41.0;66889.0444444;150.35
particular;42.0;67645.3555556;152.05
particular;43.0;68735.3333333;154.5
particular;44.0;68779.8222222;154.6
motociclista;9.0;70425.9111111;158.3
particular;45.0;70603.8666667;158.7
camion;2.0;70982.0222222;159.55
particular;46.0;73451.1555556;165.1
particular;47.0;75386.4222222;169.45
particular;48.0;76320.6888889;171.55
taxi;4.0;77744.3333333;174.75
motociclista;10.0;83372.1777778;187.4
particular;49.0;84084.0;189.0
particular;50.0;84306.4444444;189.5
particular;51.0;84973.7777778;191.0
particular;52.0;85374.1777778;191.9
particular;53.0;85618.8666667;192.45
motociclista;11.0;85974.7777778;193.25
particular;54.0;86041.5111111;193.4
taxi;5.0;86286.2;193.95
taxi;6.0;86842.3111111;195.2
particular;55.0;87220.4666667;196.05
minivan;4.0;88377.1777778;198.65
particular;56.0;88710.8444444;199.4
camion;3.0;89111.2444444;200.3
motociclista;12.0;89378.1777778;200.9
motociclista;13.0;89734.0888889;201.7
particular;57.0;89867.5555556;202.0
taxi;7.0;89889.8;202.05
motociclista;14.0;90401.4222222;203.2
particular;58.0;90468.1555556;203.35
particular;59.0;90935.2888889;204.4
particular;60.0;91647.1111111;206.0
particular;61.0;92336.6888889;207.55
particular;62.0;92714.8444444;208.4
particular;63.0;93471.1555556;210.1
particular;64.0;94939.2888889;213.4
ciclista;10.0;96496.4;216.9
ciclista;11.0;97697.6;219.6
ciclista;12.0;99388.1777778;223.4
ciclista;13.0;100077.755556;224.95
ciclista;14.0;104860.311111;235.7
ciclista;15.0;106106.0;238.5
taxi;8.0;112779.333333;253.5
motociclista;15.0;113491.155556;255.1
particular;65.0;114158.488889;256.6
camion;4.0;115181.733333;258.9
particular;66.0;116338.444444;261.5
particular;67.0;117228.222222;263.5
particular;68.0;118362.688889;266.05
motociclista;16.0;119741.844444;269.15
particular;69.0;120186.733333;270.15
particular;70.0;120943.044444;271.85
taxi;9.0;121232.222222;272.5
particular;71.0;121543.644444;273.2
particular;72.0;122366.688889;275.05
taxi;10.0;122678.111111;275.75
taxi;11.0;123234.222222;277.0
motociclista;17.0;123679.111111;278.0
particular;73.0;125013.777778;281.0
particular;74.0;125859.066667;282.9
