FECHA,Calle,Carrera,Descripcion,Origen,Destino,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,06:00:00,0,11,0,2,9,8,0,0,2,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,06:15:01,0,12,2,7,5,4,1,0,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,06:30:00,0,13,2,7,8,1,0,0,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,06:44:59,0,12,2,2,6,4,0,1,2,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,06:59:58,0,12,2,5,5,3,0,2,2,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,07:15:00,1,16,1,14,10,4,1,1,3,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,07:29:59,1,6,2,7,9,6,2,3,4,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,07:44:58,0,17,3,8,11,5,0,3,5,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,07:59:57,1,9,1,9,10,4,2,2,4,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,08:14:59,1,16,0,11,9,4,1,9,3,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,08:29:58,0,15,2,6,6,6,0,4,3,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,08:44:57,0,21,3,8,10,6,1,6,2,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,08:59:56,1,19,0,10,10,7,1,10,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,09:14:57,0,16,3,9,6,0,2,3,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,09:29:56,3,25,2,16,9,7,2,6,4,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,09:44:55,0,26,0,10,8,5,3,9,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,09:59:56,1,21,2,3,6,4,2,3,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,10:14:55,3,22,6,10,6,3,1,5,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,10:29:54,1,30,3,13,7,4,2,3,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,10:44:53,0,32,4,9,11,4,3,7,4,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,10:59:54,0,21,3,9,6,3,2,1,2,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,11:14:53,0,35,3,14,9,7,3,3,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,11:29:52,1,30,4,19,6,5,1,5,3,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,11:44:53,4,46,2,20,11,6,3,3,4,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,11:59:52,0,34,2,16,5,4,2,0,2,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,12:14:51,0,35,6,18,11,3,3,2,2,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,12:29:52,1,25,6,10,10,7,0,1,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,12:44:51,0,19,3,9,6,3,2,0,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,12:59:50,0,58,2,17,14,5,2,1,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,13:14:49,1,39,6,20,7,4,1,0,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,13:29:50,1,37,6,12,6,1,1,0,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,13:44:49,0,54,7,25,8,3,0,1,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,13:59:49,0,46,4,21,6,5,2,3,4,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,14:14:48,0,51,2,19,8,5,1,0,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,14:29:47,1,23,2,15,5,3,1,5,4,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,14:44:46,1,68,3,19,12,13,1,1,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,14:59:45,1,32,1,24,7,7,0,0,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,15:14:47,0,49,2,15,13,2,3,0,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,15:29:46,1,41,1,22,3,6,1,0,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,15:44:45,0,52,2,14,6,0,2,0,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,15:59:44,3,65,0,20,7,2,2,0,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,16:14:45,3,65,0,28,10,4,0,1,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,16:29:44,0,78,0,28,6,8,0,1,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,16:44:43,0,75,4,36,12,9,2,1,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,16:59:44,2,37,7,33,9,5,2,3,0,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,17:14:43,2,108,6,27,9,3,5,0,1,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,17:29:42,0,70,8,36,7,6,4,0,3,
19042019,115,AUTOLLANO,doble via,Oriente,Occidente,17:44:43,1,80,7,33,6,6,1,1,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,06:00:00,1,31,0,9,16,3,1,0,2,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,06:15:01,0,27,3,18,11,0,0,1,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,06:30:00,0,38,2,13,6,7,3,1,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,06:44:59,7,32,4,5,9,6,1,3,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,06:59:58,2,43,1,11,17,6,3,2,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,07:15:00,4,36,0,19,15,4,1,4,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,07:29:59,5,38,1,24,14,6,1,4,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,07:44:58,5,42,2,26,9,9,5,12,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,07:59:57,2,42,1,23,11,8,1,8,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,08:14:59,2,51,4,21,7,3,2,12,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,08:29:58,2,42,5,17,10,9,1,3,3,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,08:44:57,0,41,2,25,12,8,2,5,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,08:59:56,0,47,2,13,10,5,2,3,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,09:14:57,0,61,1,20,10,1,3,2,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,09:29:56,0,63,4,12,8,3,1,6,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,09:44:55,3,48,4,27,14,7,2,1,3,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,09:59:56,2,37,1,21,9,4,1,3,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,10:14:55,2,77,8,21,8,10,1,0,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,10:29:54,1,44,4,25,10,11,3,4,2,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,10:44:53,0,67,5,24,9,2,5,3,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,10:59:54,0,48,7,25,8,3,4,0,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,11:14:53,2,47,6,25,11,7,4,1,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,11:29:52,1,45,3,12,10,1,3,2,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,11:44:53,3,51,5,33,10,2,1,1,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,11:59:52,0,48,8,19,9,11,1,1,3,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,12:14:51,1,51,8,27,4,6,3,4,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,12:29:52,4,56,5,18,12,2,4,0,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,12:44:51,0,60,11,19,6,2,2,1,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,12:59:50,1,30,5,20,8,6,2,1,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,13:14:49,0,42,3,22,6,6,1,0,2,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,13:29:50,1,50,7,26,9,10,1,0,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,13:44:49,2,44,7,19,8,1,0,1,5,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,13:59:49,1,54,5,29,7,9,1,0,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,14:14:48,2,41,3,19,7,6,2,2,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,14:29:47,0,32,0,20,6,5,1,0,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,14:44:46,0,39,8,21,9,10,0,0,2,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,14:59:45,0,36,3,18,9,7,1,0,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,15:14:47,1,34,1,28,12,10,1,0,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,15:29:46,4,36,1,24,7,9,2,3,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,15:44:45,4,51,0,17,7,11,1,0,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,15:59:44,5,44,0,19,3,8,0,1,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,16:14:45,6,40,0,12,6,9,0,0,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,16:29:44,5,41,0,9,5,8,1,0,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,16:44:43,2,45,6,14,5,5,1,2,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,16:59:44,1,32,8,7,12,5,2,0,4,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,17:14:43,0,29,9,16,9,7,3,0,1,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,17:29:42,0,27,11,11,6,1,3,0,0,
19042019,115,AUTOLLANO,doble via,Occidente,Oriente,17:44:43,0,35,6,5,11,6,2,0,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,06:00:00,0,79,14,31,36,10,2,5,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,06:15:01,4,87,13,49,30,8,3,2,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,06:30:00,7,98,5,48,48,6,10,3,2,
19042019,187,AUTONORTE,acceso y separador,Sur,,06:44:59,3,112,9,33,56,13,7,3,1,
19042019,187,AUTONORTE,acceso y separador,Sur,,06:59:59,1,96,13,31,38,8,3,8,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,07:15:00,2,136,23,40,40,7,5,6,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,07:29:59,1,122,18,40,38,9,5,4,1,
19042019,187,AUTONORTE,acceso y separador,Sur,,07:44:58,5,143,8,27,51,10,5,3,1,
19042019,187,AUTONORTE,acceso y separador,Sur,,07:59:57,2,129,17,30,44,7,2,4,3,
19042019,187,AUTONORTE,acceso y separador,Sur,,08:14:58,2,146,18,26,34,6,3,3,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,08:29:57,3,158,18,25,38,16,5,9,4,
19042019,187,AUTONORTE,acceso y separador,Sur,,08:44:56,7,191,22,32,47,9,1,11,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,08:59:55,2,202,22,25,38,3,5,14,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,09:14:55,0,234,24,37,44,6,3,15,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,09:29:56,2,230,26,22,39,4,5,10,1,
19042019,187,AUTONORTE,acceso y separador,Sur,,09:44:55,7,242,15,37,42,22,3,13,3,
19042019,187,AUTONORTE,acceso y separador,Sur,,09:59:54,2,293,21,30,36,6,5,20,1,
19042019,187,AUTONORTE,acceso y separador,Sur,,10:14:53,1,324,35,42,43,6,4,8,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,10:29:52,3,338,26,45,42,9,4,13,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,10:44:51,2,338,26,47,40,14,4,12,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,10:59:52,1,372,22,40,40,16,1,19,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,11:14:51,3,395,23,45,46,11,3,15,1,
19042019,187,AUTONORTE,acceso y separador,Sur,,11:29:50,4,454,29,37,46,15,4,12,1,
19042019,187,AUTONORTE,acceso y separador,Sur,,11:44:49,9,450,34,41,43,15,7,18,1,
19042019,187,AUTONORTE,acceso y separador,Sur,,11:59:50,0,548,21,54,38,6,3,22,0,
19042019,187,AUTONORTE,acceso y separador,Sur,,12:14:49,3,630,27,71,39,13,4,13,1,
