FECHA,Calle,Carrera,Descripcion,Origen,Destino,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,06:15,0,11,0,2,9,8,0,0,2,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,06:30,0,12,2,7,5,4,1,0,0,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,06:45,0,13,2,7,8,1,0,0,0,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,07:00,0,12,2,2,6,4,0,1,2,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,07:15,0,12,2,5,5,3,0,2,2,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,07:30,1,16,1,14,10,4,1,1,3,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,07:45,1,6,2,7,9,6,2,3,4,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,08:00,0,17,3,8,11,5,0,3,5,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,08:15,1,9,1,9,10,4,2,2,4,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,08:30,1,16,0,11,9,4,1,9,3,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,08:45,0,15,2,6,6,6,0,4,3,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,09:00,0,21,3,8,10,6,1,6,2,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,09:15,1,19,0,10,10,7,1,10,0,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,09:30,0,16,3,9,6,0,2,3,1,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,09:45,3,25,2,16,9,7,2,6,4,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,10:00,0,26,0,10,8,5,3,9,1,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,10:15,1,21,2,3,6,4,2,3,0,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,10:30,3,22,6,10,6,3,1,5,0,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,10:45,1,30,3,13,7,4,2,3,1,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,11:00,0,32,4,9,11,4,3,7,4,
19/04/2019,115,AUTOLLANO,doble via,Oriente,Occidente,11:15,0,21,3,9,6,3,2,1,2,
